date,site_id,part_id,planned_maintenance,consumption_qty,on_hand_qty,backorder_qty,blocked_qty,forecast_qty,forecast_type,forecast_uplift_pct
1/3/2022,SITE01,P00001,FALSE,2,11,0,0,2,Baseline,0
1/10/2022,SITE01,P00001,TRUE,4,14,0,0,3,Adjusted,-0.115
1/17/2022,SITE01,P00001,TRUE,2,12,0,0,3,Baseline,0
1/24/2022,SITE01,P00001,FALSE,0,12,0,0,2,Baseline,0
1/31/2022,SITE01,P00001,TRUE,0,12,0,0,1,Adjusted,-0.11
2/7/2022,SITE01,P00001,TRUE,2,10,0,0,2,Baseline,0
2/14/2022,SITE01,P00001,FALSE,0,10,0,0,2,Baseline,0
2/21/2022,SITE01,P00001,TRUE,1,9,0,0,2,Baseline,0
2/28/2022,SITE01,P00001,TRUE,0,9,0,0,1,Adjusted,-0.165
3/7/2022,SITE01,P00001,FALSE,0,9,0,0,1,Baseline,0
3/14/2022,SITE01,P00001,FALSE,0,9,0,0,0,Baseline,0
3/21/2022,SITE01,P00001,FALSE,2,15,0,0,0,Adjusted,-0.233
3/28/2022,SITE01,P00001,TRUE,1,14,0,0,1,Baseline,0
4/4/2022,SITE01,P00001,FALSE,0,14,0,0,0,Baseline,0
4/11/2022,SITE01,P00001,TRUE,2,12,0,0,1,Adjusted,0.13
4/18/2022,SITE01,P00001,TRUE,2,10,0,0,1,Adjusted,0.174
4/25/2022,SITE01,P00001,TRUE,5,5,0,0,2,Adjusted,0.184
5/2/2022,SITE01,P00001,TRUE,1,4,0,0,2,Baseline,0
5/9/2022,SITE01,P00001,TRUE,1,3,0,0,2,Baseline,0
5/16/2022,SITE01,P00001,TRUE,0,3,0,0,2,Adjusted,-0.06
5/23/2022,SITE01,P00001,FALSE,1,10,0,0,1,Baseline,0
5/30/2022,SITE01,P00001,FALSE,4,11,0,0,2,Baseline,0
6/6/2022,SITE01,P00001,TRUE,3,8,0,0,2,Baseline,0
6/13/2022,SITE01,P00001,FALSE,0,8,0,0,2,Baseline,0
6/20/2022,SITE01,P00001,FALSE,0,8,0,0,1,Baseline,0
6/27/2022,SITE01,P00001,TRUE,3,5,0,0,2,Baseline,0
7/4/2022,SITE01,P00001,TRUE,3,2,0,0,2,Baseline,0
7/11/2022,SITE01,P00001,FALSE,0,2,0,0,2,Adjusted,0.341
7/18/2022,SITE01,P00001,FALSE,0,2,0,0,2,Baseline,0
7/25/2022,SITE01,P00001,FALSE,1,1,0,0,1,Baseline,0
8/1/2022,SITE01,P00001,TRUE,2,6,1,0,1,Baseline,0
8/8/2022,SITE01,P00001,TRUE,3,9,0,0,1,Baseline,0
8/15/2022,SITE01,P00001,FALSE,1,8,0,0,2,Baseline,0
8/22/2022,SITE01,P00001,TRUE,0,8,0,0,1,Adjusted,0.068
8/29/2022,SITE01,P00001,FALSE,0,8,0,0,1,Adjusted,0.14
9/5/2022,SITE01,P00001,TRUE,1,7,0,0,1,Baseline,0
9/12/2022,SITE01,P00001,TRUE,0,15,0,0,1,Baseline,0
9/19/2022,SITE01,P00001,FALSE,0,15,0,0,1,Baseline,0
9/26/2022,SITE01,P00001,TRUE,0,15,0,0,1,Baseline,0
10/3/2022,SITE01,P00001,TRUE,0,15,0,0,0,Adjusted,-0.202
10/10/2022,SITE01,P00001,FALSE,1,14,0,0,0,Baseline,0
10/17/2022,SITE01,P00001,TRUE,0,14,0,0,0,Baseline,0
10/24/2022,SITE01,P00001,TRUE,0,14,0,0,0,Baseline,0
10/31/2022,SITE01,P00001,FALSE,2,12,0,0,0,Adjusted,-0.12
11/7/2022,SITE01,P00001,FALSE,1,11,0,0,0,Baseline,0
11/14/2022,SITE01,P00001,TRUE,1,10,0,0,1,Adjusted,0.239
11/21/2022,SITE01,P00001,TRUE,1,9,0,0,1,Baseline,0
11/28/2022,SITE01,P00001,TRUE,1,8,0,0,1,Adjusted,0.13
12/5/2022,SITE01,P00001,TRUE,2,11,0,0,1,Adjusted,0.055
12/12/2022,SITE01,P00001,TRUE,1,10,0,0,1,Baseline,0
12/19/2022,SITE01,P00001,TRUE,0,10,0,0,1,Baseline,0
12/26/2022,SITE01,P00001,TRUE,3,7,0,0,1,Adjusted,-0.227
1/2/2023,SITE01,P00001,TRUE,2,11,0,0,1,Baseline,0
1/9/2023,SITE01,P00001,FALSE,1,10,0,0,1,Baseline,0
1/16/2023,SITE01,P00001,TRUE,0,10,0,0,1,Adjusted,0.079
1/23/2023,SITE01,P00001,TRUE,0,10,0,0,1,Baseline,0
1/30/2023,SITE01,P00001,FALSE,2,8,0,0,1,Baseline,0
2/6/2023,SITE01,P00001,FALSE,2,12,0,0,1,Baseline,0
2/13/2023,SITE01,P00001,FALSE,0,12,0,0,1,Baseline,0
2/20/2023,SITE01,P00001,TRUE,2,10,0,0,1,Baseline,0
2/27/2023,SITE01,P00001,FALSE,3,16,0,0,1,Baseline,0
3/6/2023,SITE01,P00001,TRUE,2,14,0,0,1,Baseline,0
3/13/2023,SITE01,P00001,FALSE,1,13,0,0,1,Baseline,0
3/20/2023,SITE01,P00001,TRUE,1,12,0,0,2,Baseline,0
3/27/2023,SITE01,P00001,TRUE,1,11,0,0,1,Baseline,0
4/3/2023,SITE01,P00001,TRUE,1,10,0,0,1,Baseline,0
4/10/2023,SITE01,P00001,TRUE,0,10,0,0,2,Adjusted,0.196
4/17/2023,SITE01,P00001,TRUE,3,7,0,0,2,Baseline,0
4/24/2023,SITE01,P00001,TRUE,2,5,0,0,2,Adjusted,0.27
5/1/2023,SITE01,P00001,FALSE,3,6,0,0,1,Baseline,0
5/8/2023,SITE01,P00001,FALSE,1,5,0,0,2,Baseline,0
